#    FY4 Quest大全, Ver = 4.0.1
#
# 格式：
#  杀『搜索名称』【ID】简单说明 @物品文件路径
#  寻『搜索名称』〖中文名称〗【ID】简单说明 @物品文件路径
# 注："搜索名称"不含颜色码，"中文名称"含ANSI颜色码

杀『阿菜哥』【waiter】exp<1K,沉香:3s,e菜根香 @/d/chenxiang/npc/cx_waiter.c
杀『阿草』【a cao】exp=2M, @/d/shanliu/npc/tianzong1.c
寻『水蜜桃』〖水蜜桃〗【taozi】val<1S, @/d/taoyuan/obj/taozi.c
寻『水衫』〖水衫〗【shui cloth】val=10S, @/d/qianjin/npc/obj/shui.c
寻『水桶』〖水桶〗【bucket】val<1S, @/d/eren/npc/obj/bucket.c
寻『水仙花』〖水仙花〗【flower】val<1S, @/d/zangbei/obj/flower2.c
寻『水玉璧』〖水玉璧〗【shuiyu】val<1S, @/d/qianjin/npc/obj/shuipai.c
寻『丝绸布』〖丝绸布〗【choubu】val=2G, @/d/songshan/npc/obj/bu3.c
寻『丝绸长袍』〖丝绸长袍〗【silk cloth】val=6S, @/d/wolfmount/npc/obj/silkcloth.c
寻『丝绸马褂』〖丝绸马褂〗【silk cloth】val=25S, @/d/wanmei/obj/silk_cloth.c
寻『丝衣』〖丝衣〗【cloth】val=2G,夜帝穿 @/d/tieflag/npc/obj/sicloth.c
寻『死狼』〖死狼〗【deadwolf】val<1S, @/d/huashan/obj/deadwolf.c
寻『四袋布衣』〖四袋布衣〗【4bag-cloth】val=4S, @/d/chenxiang/npc/obj/4bagcloth.c
寻『四品官服』〖四品官服〗【cloth】val=1S, @/d/taiping/npc/obj/o_cloth2.c
寻『四条』〖四条〗【majiangpai tiao】val=10S,数字4-6,9随机 @/d/palace/npc/obj/pai1.c
寻『素菜包』〖素菜包〗【subao】val=1S, @/d/fy/npc/obj/baozi3.c
寻『素服』〖$WHT$素服$NOR$〗【white cloth】val=10S, @/d/fy/npc/obj/heicloth.c
寻『素绢』〖素绢〗【silk sheet】val<1S, @/d/libie/npc/obj/sheet.c
寻『素绢』〖素绢〗【silk sheet】val<1S, @/d/libie/obj/sheet.c
寻『素色宫装』〖$HIW$素色宫装$NOR$〗【gongqun】val=20S, @/d/loulan/npc/obj/gongzhuang.c
寻『素衣』〖$HIW$素衣$NOR$〗【white cloth】val<1S, @/d/libie/npc/obj/white_cloth.c
寻『素纨长裙』〖$GRN$素纨长裙$NOR$〗【greenskirt】val=2G, @/d/fugui/npc/obj/w_skirt1.c
寻『碎瓷青花碗』〖碎瓷青花碗〗【bowl】val<1S, @/d/eren2/obj/bowl.c
寻『碎花小裙』〖碎花小裙〗【skirt】val=10S, @/d/eren/npc/obj/pgcloth.c
寻『碎金』〖$HIY$碎金$NOR$〗【gold piece】val<1S, @/d/yinghe/obj/goldpiece.c
寻『碎石』〖碎石〗【suishi】val<1S, @/d/huangshan/obj/ystone.c
寻『碎玉箭』〖碎玉箭〗【1 small arrow】val<1S, @/d/yinghe/obj/smallarrow.c
寻『碎纸片右上角』〖碎纸片右上角〗【some paper】val<1S, @/d/biancheng/npc/obj/paper_2.c
寻『碎纸片右下角』〖碎纸片右下角〗【some paper】val<1S, @/d/biancheng/npc/obj/paper_4.c
寻『碎纸片左上角』〖碎纸片左上角〗【some paper】val<1S, @/d/biancheng/npc/obj/paper_1.c
寻『碎纸片左下角』〖碎纸片左下角〗【some paper】val<1S, @/d/biancheng/npc/obj/paper_3.c
寻『蓑衣』〖蓑衣〗【raincoat】val<1S, @/d/laowu/npc/obj/raincoat.c
寻『梭子』〖梭子〗【suo zi】val=1S, @/d/taoyuan/obj/suozi.c
寻『太极八卦道袍』〖太极八卦道袍〗【cloth】val=10S,风云乙成仙穿（危险，杀精） @/d/fy/npc/obj/daopao.c
寻『太极拳练功图』〖太极拳练功图〗【taiji-book】val=1G, @/d/wudang/obj/taijibook.c
寻『檀木盒』〖$YEL$檀木盒$NOR$〗【tanmubox】val<1S, @/d/shanliu/npc/obj/tanmubox.c
寻『檀木剑』〖檀木剑〗【sword】val=1S, @/d/shaolin/npc/obj/monk_sword.c
寻『唐代玉玺』〖$HIY$唐代玉玺$NOR$〗【yuxi】val=5G, @/d/fugui/obj/yuxi.c
寻『糖包儿』〖糖包儿〗【tangbao】val=20S, @/d/shenshui/obj/tangbao.c
寻『桃符纸』〖1 桃符纸〗【1 paper seal】val<1S,风云.安生棺材店.胡英、武当.杂货店.老板卖 @/obj/item/paper_seal.c
寻『桃花瓣』〖桃花瓣〗【1 petal】val<1S, @/d/huashan/npc/obj/petal.c
寻『桃花枝』〖桃花枝〗【taozhi】val<1S, @/d/taoyuan/obj/taozhi.c
寻『桃金娘』〖桃金娘〗【flower】val<1S, @/d/zangbei/obj/flower2.c
寻『桃木剑』〖桃木剑〗【sword】val=80S, @/d/taoguan/npc/obj/sword1.c
寻『桃片糕』〖桃片糕〗【taopian cake】val<1S, @/d/taoyuan/npc/obj/taopian.c
寻『逃情酒』〖$HIW$逃情酒$NOR$〗【taoqing-wine】val<1S, @/d/sharen/npc/obj/wine.c
寻『藤甲』〖$HIG$藤甲$NOR$〗【chainarmor】val=1G, @/d/eren/npc/obj/g_armor.c
寻『藤甲』〖$HIG$藤甲$NOR$〗【chainarmor】val=1G, @/d/eren2/npc/obj/g_armor.c
寻『藤甲盾』〖藤甲盾〗【shield】val=30S, @/d/loulan/obj/shield.c
寻『藤萝绳』〖藤萝绳〗【rope】val<1S, @/d/taoyuan/obj/brope.c
寻『剃头刀』〖剃头刀〗【blade】val=10S, @/d/taiping/npc/obj/blade.c
寻『天蚕丝带』〖$HIM$天蚕丝带$NOR$〗【sidai】val=1G, @/d/palace/npc/obj/sidai.c
寻『天狼鞭』〖$HIW$天狼鞭$NOR$〗【wolf whip】val=1G, @/d/wolfmount/npc/obj/skull_whip.c
寻『天女花』〖$WHT$天女花$NOR$〗【angel flower】val=30S, @/d/huangshan/obj/tnflower.c
寻『天缺古月寒』〖天缺古月寒〗【destblade】val=50G, @/d/guanyin/npc/obj/mblade.c
寻『天山精铁块』〖$BLU$天山精铁块$NOR$〗【rare iron】val=200G, @/d/guanwai/npc/obj/gw_iron.c
寻『天山雪莲』〖$HIC$天山雪莲$NOR$〗【snow lotus】val=2G, @/d/xinjiang/obj/lotus.c
寻『天师道袍』〖天师道袍〗【taolord robe】val=1G, @/d/taoguan/npc/obj/robe.c
寻『天师正道入门』〖天师正道入门〗【taoismbook】val=1G, @/d/fy/npc/obj/taoism_book.c
寻『天香续命露』〖天香续命露〗【potion】val<1S, @/d/palace/obj/medicine.c
寻『天宗盟册』〖$HIR$天宗盟册$NOR$〗【meng ce】val<1S, @/d/shanliu/npc/obj/mengce.c
寻『天宗盟册』〖$HIR$天宗盟册$NOR$〗【meng ce】val<1S, @/d/taishan/obj/mengce.c
寻『铁笔』〖铁笔〗【ironpen】val=4S, @/d/fy/npc/obj/ironpen.c
寻『铁菜刀』〖铁菜刀〗【carver】val=3S, @/d/qianfo/npc/obj/carver.c
寻『铁菜刀』〖铁菜刀〗【carver】val=3S, @/d/qianfo/obj/carver.c
寻『铁尺』〖铁尺〗【ruler】val=10S, @/d/taiping/npc/obj/yblade.c
寻『铁锤』〖铁锤〗【hammer】val<1S, @/d/fy/npc/obj/hammer.c
寻『铁斧』〖铁斧〗【lumber axe】val<1S, @/d/resort/npc/obj/lumber_axe.c
寻『铁镐』〖铁镐〗【gao】val<1S, @/d/fugui/npc/obj/gao.c
寻『铁钩』〖铁钩〗【hook】val=30S, @/d/chenxiang/npc/obj/hook.c
寻『铁锅』〖铁锅〗【tieguo】val<1S, @/d/fugui/obj/tieguo.c
寻『铁盒』〖铁盒〗【box】val=2S, @/d/wudang/obj/box.c
寻『铁剑』〖铁剑〗【sword】val=20S, @/d/wudang/obj/sword2.c
寻『铁链』〖铁链〗【chain】val=5S, @/d/huashan/npc/obj/chain.c
寻『铁缕衣』〖铁缕衣〗【cloth】val=1G, @/d/daimiao/npc/obj/duoyi3.c
寻『铁手掌』〖铁手掌〗【iron hand】val=5S, @/d/bat/obj/book-iron.c
寻『铁索』〖$HIR$铁索$NOR$〗【tiesuo】val=5S, @/d/death/npc/obj/whip.c
寻『铁雪信笺』〖铁雪信笺〗【letter】val=10S, @/d/resort/npc/obj/gletter.c
寻『铁血大旗』〖铁血大旗〗【flag】val<1S, @/d/tieflag/npc/obj/tieflag.c
寻『铁掌』〖铁掌〗【ironfist】val<1S,少林西石坊、东石坊 kill monk @/d/shaolin/npc/obj/ironfist.c
寻『铁针』〖铁针〗【1 needle】val<1S, @/d/shenshui/npc/obj/n_stone.c
寻『铁针』〖铁针〗【needle】val<1S, @/d/wudang/obj/needle.c
寻『听风辨器秘笈』〖听风辨器秘笈〗【perception book】val<1S, @/d/resort/obj/book7.c
寻『铜佛鼓』〖铜佛鼓〗【fogu】val=5S, @/d/qianfo/npc/obj/fegu.c
寻『铜佛钟』〖铜佛钟〗【fozhong】val=5S, @/d/qianfo/npc/obj/fezhong.c
寻『铜钱』〖铜钱〗【special coin】val<1S, @/d/chenxiang/npc/obj/coin.c
寻『铜钱镖』〖铜钱镖〗【1 biao】val<1S, @/d/ghost/npc/obj/biao.c
寻『铜哨』〖铜哨〗【pipe】val<1S, @/d/ghost/obj/pipe.c
寻『铜钥匙』〖$YEL$铜钥匙$NOR$〗【key】val<1S, @/d/yinghe/obj/copperkey.c
寻『头巾』〖头巾〗【towel】val=20S, @/d/eren/npc/obj/towel.c
寻『屠刀』〖$RED$屠刀$NOR$〗【butcher knife】val=5G, @/d/cave/npc/obj/butcherknife.c
寻『团金褂』〖团金褂〗【cloth】val=1G, @/d/qianjin/npc/obj/drinkcloth.c
寻『推荐信』〖推荐信〗【letter】val<1S, @/d/fugui/npc/obj/letter.c
寻『弯刀』〖弯刀〗【roundblade】val=2S, @/d/guanwai/npc/obj/roundblade.c
寻『王蛇蛇胆』〖$RED$王蛇蛇胆$NOR$〗【wang shedan】val=5S, @/d/shanliu/npc/obj/wangshedan.c
寻『忘魂果』〖$HIG$忘魂果$NOR$〗【wangguo】val=10S, @/d/palace/obj/wangguo.c
寻『忘魂花』〖忘魂花〗【wanghua】val<1S, @/d/palace/obj/wanghua.c
寻『忘年丸』〖$HIY$忘年丸$NOR$〗【time pill】val<1S, @/d/baiyun/obj/timepill.c
寻『忘忧草』〖忘忧草〗【grass】val=10S, @/d/huashan/obj/grass.c
寻『围棋子』〖围棋子〗【1 go piece】val<1S, @/d/palace/npc/obj/b_stone.c
寻『围裙』〖围裙〗【cloth】val=10S, @/d/eren/npc/obj/apron.c
寻『维吾尔花帽』〖维吾尔花帽〗【cotton hat】val=1S, @/d/xinjiang/npc/obj/hat.c
寻『乌木簪』〖乌木簪〗【black clip】val=2S, @/d/ghost/npc/obj/clip.c
寻『乌鞘长刀』〖乌鞘长刀〗【black blade】val=1G, @/d/wudang/npc/obj/blackblade.c
寻『乌鞘马鞭』〖$BLK$乌鞘马鞭$NOR$〗【horse whip】val=5G, @/d/cave/npc/obj/horsewhip.c
寻『乌铁块』〖乌铁块〗【tiekuai】val=10G, @/d/songshan/npc/obj/tie1.c
寻『乌铁禅杖』〖乌铁禅杖〗【staff】val=6S, @/d/guanwai/npc/obj/ironstaff.c
寻『乌衣』〖乌衣〗【dark cloth】val<1S, @/d/wudang/npc/obj/skinmask.c
寻『乌衣』〖乌衣〗【dark cloth】val<1S, @/d/wudang/npc/obj/wucloth.c
寻『无敌宝鉴』〖$HIC$无敌宝鉴$NOR$〗【wudi book】val=70S, @/d/loulan/npc/obj/book1.c
寻『无敌宝鉴』〖$HIC$无敌宝鉴$NOR$〗【wudi book】val=70S, @/d/loulan/npc/obj/book2.c
寻『无核白葡萄』〖无核白葡萄〗【1 grape】val<1S, @/d/xinjiang/npc/obj/putao.c
寻『无极八卦玉佩』〖$GRN$无极八卦玉佩$NOR$〗【jade】val=1G, @/d/sharen/npc/obj/jade.c
寻『无名花』〖$CYN$无名花$NOR$〗【flower】val<1S, @/d/huashan/obj/yihua.c
寻『无影神针』〖$HIC$无影神针$NOR$〗【1 needle】val<1S, @/d/palace/obj/needle.c
寻『武当老掌门的面具』〖武当老掌门的面具〗【skinmask】val<1S, @/d/fy/npc/obj/headmask.c
寻『武士披风』〖$HIB$武士披风$NOR$〗【bluecloth】val=10S, @/d/fugui/npc/obj/m_cloth3.c
寻『五彩布』〖五彩布〗【caibu】val=4G, @/d/songshan/npc/obj/bu4.c
寻『五彩紧身裙』〖$HIY$五$HIR$彩$NOR$紧身裙〗【miniskirt】val=1G, @/d/fy/npc/obj/wch_skirt.c
寻『五彩绳子』〖$HIW$五彩绳子$NOR$〗【colorful rope】val<1S, @/d/fy/npc/obj/rope.c
寻『五彩小兜肚』〖$HIY$五$HIR$彩$NOR$小兜肚〗【doudu】val=1G, @/d/bawang/npc/obj/doudu.c
寻『五彩小鱼』〖五彩小鱼〗【rainbowl fish】val=5G, @/d/taoyuan/obj/rainbowfish.c
寻『五袋布衣』〖五袋布衣〗【5bag-cloth】val=4S, @/d/chenxiang/npc/obj/5bagcloth.c
寻『五花神箭』〖$RED$五$BLU$花$HIG$神箭$NOR$〗【1 5flower arrow】val<1S, @/d/guanwai/npc/obj/arrow.c
寻『五环禅杖』〖五环禅杖〗【5-ring staff】val=2G, @/d/guanwai/npc/obj/5staff.c
寻『五角枫叶』〖$HIR$五角枫叶$NOR$〗【maple leaf】val<1S, @/d/huashan/obj/mapleleaf.c
寻『五色水晶』〖五色水晶〗【crystal】val=20G, @/d/cave2/obj/stone_0.c
寻『五条』〖五条〗【majiangpai tiao】val=10S,数字4-6,9随机 @/d/palace/npc/obj/pai1.c
寻『五万』〖五万〗【majiangpai wan】val=10S,数字5,7-9随机 @/d/palace/npc/obj/pai2.c
寻『舞蝶彩衫』〖舞蝶彩衫〗【skirt】val=10S, @/d/qianjin/npc/obj/clothtwo.c
寻『舞柳剑』〖舞柳剑〗【sword】val=20S, @/d/ghost/npc/obj/sword3.c
寻『勿忘我』〖勿忘我〗【wu grass】val<1S, @/d/qianjin/npc/obj/wo.c
寻『西戎利剑』〖西戎利剑〗【sword】val=50G, @/d/guanwai/npc/obj/gw_sword.c
寻『西夏帕耳』〖西夏帕耳〗【hammer】val=60G, @/d/guanwai/npc/obj/gw_hammer.c
寻『洗得发白的僧鞋』〖洗得发白的僧鞋〗【monk shoes】val<1S,名字随机,兴国 @/d/qianfo/npc/obj/shoe2.c
寻『洗得发白的僧衣』〖洗得发白的僧衣〗【monk cloth】val<1S,名字随机,兴国 @/d/qianfo/npc/obj/cloth.c
寻『洗的发白的蓝布衣裳』〖$BLU$洗的发白的蓝布衣裳$NOR$〗【bluecloth】val=30S, @/d/taishan/npc/obj/hxcloth.c
寻『洗衣锤』〖洗衣锤〗【laundry hammer】val<1S, @/d/zangbei/npc/obj/l_hammer.c
寻『细瓷茶杯』〖细瓷茶杯〗【tea cup】val=1S, @/d/wudang/obj/cup.c
寻『细短小剑』〖细短小剑〗【short sword】val=40S, @/d/bawang/npc/obj/shortsword.c
寻『细花布』〖细花布〗【huabu】val=1G, @/d/songshan/npc/obj/bu2.c
寻『细剑』〖细剑〗【thin sword】val=5S, @/d/fy/npc/obj/thin_sword.c
寻『细剑』〖细剑〗【thin sword】val=7S, @/d/resort/obj/thin_sword.c
寻『细麻线』〖细麻线〗【string】val<1S, @/d/taoyuan/obj/string.c
寻『细梅剑』〖细梅剑〗【thin sword】val=7S, @/d/guanwai/npc/obj/thin_sword.c
寻『细梅剑』〖细梅剑〗【thin sword】val=7S, @/d/resort/npc/obj/thin_sword.c
寻『细细的钓鱼竿』〖细细的钓鱼竿〗【fishpole】val=3S, @/d/eren/npc/obj/staff.c
寻『细竹竿』〖细竹竿〗【bamboo】val=1S, @/d/taoyuan/obj/bamboo.c
寻『鲜红衣裳』〖$HIR$鲜红衣裳$NOR$〗【cloth】val=4G,李红袖穿 @/d/shenshui/npc/obj/ghostycloth.c
寻『鲜血淋漓的人腿』〖$HIR$鲜血淋漓的人腿$NOR$〗【blood leg】val=1G, @/d/cave/npc/obj/bloodleg.c
寻『鲜鱼』〖鲜鱼〗【freshfish】val<1S, @/d/chenxiang/npc/obj/freshfish.c
寻『咸肉』〖咸肉〗【ham】val<1S, @/d/eren2/obj/meat.c
寻『相公袍』〖$HIC$相公袍$NOR$〗【shayi】val=10S, @/d/fugui/npc/obj/cyan_cloth.c
寻『香蕉皮』〖香蕉皮〗【banana skin】val<1S, @/d/huangshan/obj/bananaskin.c
寻『香梨』〖$HIG$香梨$NOR$〗【pear】val=5S, @/d/fugui/obj/pear.c
寻『香摺扇』〖香摺扇〗【zheshan】val=4S, @/d/wolfmount/npc/obj/zheshan.c
寻『箱子』〖箱子〗【woodcase】val<1S, @/d/tieflag/obj/commcase.c
寻『响尾蛇蛇胆』〖$YEL$响尾蛇蛇胆$NOR$〗【xiangwei shedan】val=3G, @/d/shanliu/npc/obj/xiangweishedan.c
寻『削断的梅枝』〖削断的梅枝〗【meizhi】val=1S, @/d/shaolin/obj/meizhi.c
寻『小白菜』〖$WHT$小白菜$NOR$〗【small cabbage】val<1S, @/d/fy/npc/obj/smallvege.c
寻『小白鲤』〖小白鲤〗【fish】val=1S,名字随机,村外鱼塘里 @/d/eren/obj/fish.c
寻『小册子』〖小册子〗【book】val<1S, @/d/huashan/obj/book.c
寻『小炒粉丝』〖小炒粉丝〗【xcfs】val=10S, @/d/fy/npc/obj/xcfs.c
寻『小乘经』〖小乘经〗【jinbook】val=1S, @/d/qianfo/obj/book5.c
寻『小葱』〖小葱〗【xiao cong】val<1S, @/d/taoyuan/obj/greenorion.c
寻『小碟儿』〖小碟儿〗【diezi】val<1S,风云老汉卖的small dish吃完后变成这个 @/d/fy/npc/obj/xiaocai.c
寻『小兜兜』〖小兜兜〗【cloth】val<1S, @/d/wanmei/npc/obj/cloth2.c
寻『小短剑』〖小短剑〗【sword】val=4S, @/d/chuenyu/npc/obj/sword2.c
寻『小短裤』〖小短裤〗【short trousers】val=1S, @/d/fugui/npc/obj/underwear.c
寻『小风车』〖小风车〗【small toy】val=10S, @/d/eren/npc/obj/windche.c
寻『小风车』〖小风车〗【small toy】val=10S, @/d/fy/npc/obj/windche.c
寻『小钩子』〖小钩子〗【hook】val<1S, @/d/taoyuan/obj/hook.c
寻『小锅』〖小锅〗【small wok】val<1S, @/d/shaolin/obj/xiaoguo.c
寻『小和尚雕塑』〖小和尚雕塑〗【statue】val=50G, @/d/xinjiang/obj/smonk.c
寻『小花裙』〖小花裙〗【skirt】val=1S, @/d/fugui/npc/obj/skirt.c
寻『小花裙』〖小花裙〗【xiaoskirt】val=1G, @/d/fy/npc/obj/hua_skirt.c
寻『小还丹』〖小还丹〗【xiaodan】val=2G, @/d/shaolin/obj/dan.c
寻『小黄瓜』〖小黄瓜〗【small dish】val<1S风云老汉卖，名字随机, @/d/fy/npc/obj/xiaocai.c
寻『小金杯』〖小金杯〗【gold cup】val=10G, @/d/qianjin/obj/hhdq.c
寻『小金刚经』〖小金刚经〗【jinbook】val=1S, @/d/qianfo/obj/book1.c
寻『小金剑』〖小金剑〗【gold sword】val=3S, @/d/wudang/npc/obj/goldsword.c
寻『小锦鲤』〖小锦鲤〗【fish】val=1S,名字随机 @/d/qingping/obj/fish.c
寻『小锦旗』〖小锦旗〗【small flag】val=1S, @/d/fycycle/obj/qi.c
寻『小老鼠』〖小老鼠〗【mouse】val<1S, @/d/fugui/npc/obj/mouse.c
寻『小李飞刀』〖$RED$小李飞刀$NOR$〗【1 flying blade】val<1S, @/d/fy/npc/obj/xlfd_knife.c
寻『小笼包』〖小笼包〗【xiao bao】val=1S, @/d/bawang/npc/obj/xiaobao.c
寻『小马求援信』〖小马求援信〗【xiaoma note】val<1S, @/d/bawang/npc/obj/xiaoma_note.c
寻『小面馆的地契』〖小面馆的地契〗【diqi】val=2S, @/d/chenxiang/npc/obj/qiju.c
寻『小木筏』〖小木筏〗【boat】val<1S, @/d/wanmei/obj/boat.c
寻『小南瓜』〖小南瓜〗【pumpkin】val<1S, @/d/eren2/obj/pumpkin.c
寻『小泥人』〖小泥人〗【small toy】val=10S, @/d/eren/npc/obj/niren.c
寻『小鸟蛋』〖小鸟蛋〗【bird egg】val=1S, @/d/qingping/obj/egg.c
寻『小青核桃』〖小青核桃〗【walnut】val<1S, @/d/taoyuan/obj/walnut.c
寻『小石头』〖小石头〗【1 stone】val<1S, @/d/guanwai/npc/obj/stone.c
寻『小石子』〖小石子〗【1 stone】val<1S, @/d/fy/npc/obj/stone.c
寻『小铁盒』〖小铁盒〗【box】val=2S, @/d/palace/npc/obj/box.c
寻『小铁盒』〖小铁盒〗【box】val=2S, @/d/palace/obj/box.c
寻『小铁剑』〖小铁剑〗【iron sword】val=3S, @/d/wudang/npc/obj/ironsword.c
寻『小铜剑』〖小铜剑〗【bronze sword】val=3S, @/d/wudang/npc/obj/bronzesword.c
寻『小虾』〖小虾〗【shrimp】val<1S, @/d/chenxiang/npc/obj/shrimp.c
寻『小野菊』〖$HIY$小野菊$NOR$〗【daisy】val<1S, @/d/huashan/obj/flower.c
寻『小银剑』〖小银剑〗【silver sword】val=3S, @/d/wudang/npc/obj/silversword.c
寻『小油菜』〖小油菜〗【you cai】val<1S, @/d/taoyuan/obj/youcai.c
寻『小鱼缸』〖小鱼缸〗【fish tank】val=20S, @/d/taoyuan/obj/fishtank.c
寻『小玉瓶』〖小玉瓶〗【bottle】val<1S, @/d/huashan/obj/bottle.c
寻『小圆镜子』〖小圆镜子〗【mirror】val=2S, @/d/chenxiang/npc/obj/mirror.c
寻『小竹拂尘』〖小竹拂尘〗【fuchen】val<1S, @/d/daimiao/npc/obj/boom.c
寻『小竹拂尘』〖小竹拂尘〗【fuchen】val<1S, @/d/daimiao/obj/boom.c
寻『小螃蟹』〖$MAG$小螃蟹$NOR$〗【littlething】val<1S,名字随机 @/d/baiyun/obj/littlething.c
寻『斜玛』〖斜玛〗【tibetan skirt】val=4S, @/d/zangbei/npc/obj/tcloth2.c
寻『斜阳倚翠红袖招』〖$RED$斜阳倚翠红袖招$NOR$〗【food】val=20S, @/d/jinan/npc/obj/food.c
寻『新道服』〖$HIW$新道服$NOR$〗【cloth】val=10S, @/d/taoguan/npc/obj/o_cloth.c
寻『新疆地毯』〖新疆地毯〗【thick carpet】val=1S, @/d/xinjiang/npc/obj/carpet.c
寻『心字罗衣』〖$RED$心字罗衣$NOR$〗【redskirt】val=2G, @/d/fugui/npc/obj/w_skirt2.c
寻『信』〖信〗【letter】val=1S, @/d/qingping/obj/letter.c
寻『胸襟半开的轻纱丝袍』〖胸襟半开的轻纱丝袍〗【cloth】val<1S, @/d/guanyin/npc/obj/whitecloth.c
寻『熊掌』〖$YEL$熊掌$NOR$〗【bear palm】val=30S, @/d/shenshui/npc/obj/palm.c
寻『熊掌』〖熊掌〗【xiong】val=20S, @/d/laowu/obj/xiong.c
寻『熊掌』〖熊掌〗【xiong】val=80S, @/d/laowu/npc/obj/xiong.c
寻『修指刀』〖修指刀〗【finger dagger】val=3S, @/d/cave/npc/obj/xiuzhiblade.c
寻『绣花荷包』〖$HIM$绣花荷包$NOR$〗【notecase】val=1G, @/d/fugui/npc/obj/notecase.C
寻『绣花荷包』〖$HIM$绣花荷包$NOR$〗【notecase】val=1G, @/d/fy/npc/obj/notecase.C
寻『绣花小鞋』〖绣花小鞋〗【flower shoes】val=3S, @/d/fugui/npc/obj/shoes.c
寻『绣花小鞋』〖绣花小鞋〗【shoes】val=3S, @/d/fy/npc/obj/shoe.c
寻『绣花小鞋』〖绣花小鞋〗【shoes】val=3S, @/d/resort/obj/shoe.c
寻『绣花鞋』〖绣花鞋〗【shoes】val=3S, @/d/resort/npc/obj/shoe.c
寻『绣花针』〖绣花针〗【1 needle】val<1S, @/d/taoyuan/obj/needle.c
寻『绣满了元宝的绸大褂』〖绣满了元宝的绸大褂〗【dagua】val=10S, @/d/chenxiang/npc/obj/jcloth.c
寻『绣着梅花的浴巾』〖绣着梅花的浴巾〗【towel】val<1S, @/d/wanmei/obj/towel.c
寻『宣花巨斧』〖$HIR$宣花巨斧$NOR$〗【axe】val=10S, @/d/tieflag/npc/obj/xuanaxe.c
寻『玄冰凝魄鞭』〖$HIC$玄冰凝魄鞭$NOR$〗【ice whip】val<1S, @/d/yinghe/obj/water_whip.c
寻『玄冰凝魄锤』〖$HIC$玄冰凝魄锤$NOR$〗【ice hammer】val<1S, @/d/yinghe/obj/water_hammer.c
寻『玄冰凝魄刀』〖$HIC$玄冰凝魄刀$NOR$〗【ice blade】val<1S, @/d/yinghe/obj/water_blade.c
寻『玄冰凝魄斧』〖$HIC$玄冰凝魄斧$NOR$〗【ice axe】val<1S, @/d/yinghe/obj/water_axe.c
寻『玄冰凝魄剑』〖$HIC$玄冰凝魄剑$NOR$〗【ice sword】val<1S, @/d/yinghe/obj/water_sword.c
寻『玄冰凝魄枪』〖$HIC$玄冰凝魄枪$NOR$〗【ice spear】val<1S, @/d/yinghe/obj/water_spear.c
寻『玄冰凝魄匕首』〖$HIC$玄冰凝魄匕首$NOR$〗【ice dagger】val<1S, @/d/yinghe/obj/water_dagger.c
寻『玄色紧身劲装』〖$MAG$玄色紧身劲装$NOR$〗【magcloth】val=1G, @/d/fugui/npc/obj/m_cloth4.c
寻『玄苏剑』〖玄苏剑〗【blackthorn sword】val=24S, @/d/wanmei/obj/blackthorn.c
寻『玄武战袍』〖玄武战袍〗【zhanpao】val=70S, @/d/palace/npc/obj/zhanpao1.c
寻『玄心墨金』〖$BLU$玄心墨金$NOR$〗【black jade】val=2G, @/d/yinghe/obj/black_jade.c
寻『雪白绸衫』〖$HIW$雪白绸衫$NOR$〗【white silk cloth】val=10S, @/d/fy/npc/obj/whitecloth.c
寻『雪白的长袍』〖$HIW$雪白的长袍$NOR$〗【cloth】val=80S, @/d/eren2/npc/obj/whitecloth.c
寻『雪蛤蟆』〖雪蛤蟆〗【snowfrog】val=10S, @/d/palace/obj/xuehama.c
寻『雪龙鞭』〖$WHT$雪龙鞭$NOR$〗【whip】val=10S, @/d/taiping/npc/obj/whip.c
寻『雪衫』〖雪衫〗【xue cloth】val=10S, @/d/qianjin/npc/obj/xue.c
寻『雪玉璧』〖雪玉璧〗【xueyu】val<1S, @/d/qianjin/npc/obj/xuepai.c
寻『雪芝』〖$WHT$雪芝$NOR$〗【xuezhi】val=1G, @/d/guanwai/npc/obj/xuezhi.c
寻『血肠』〖血肠〗【xuechang】val<1S, @/d/laowu/npc/obj/xuechang.c
寻『血斧』〖$HIR$血斧$NOR$〗【axe】val=1G, @/d/taiping/npc/obj/axe.c
寻『血红丝巾』〖$HIR$血红丝巾$NOR$〗【ribbon】val<1S, @/d/shanliu/npc/obj/ribbon.C
寻『血剑』〖$HIR$血剑$NOR$〗【blood sword】val=20S, @/d/wudang/npc/obj/bloodsword.c
寻『血纹彩衫』〖血纹彩衫〗【cloth】val<1S, @/d/manglin/npc/obj/ducloth.c
寻『血衣』〖血衣〗【bloodcloth】val<1S, @/d/wolfmount/npc/obj/bloodcloth.c
寻『训兽术』〖训兽术〗【book】val=1S, @/d/taoyuan/npc/obj/monkeybook.c
寻『鸭油包』〖鸭油包〗【yabao】val=1S, @/d/fy/npc/obj/baozi2.c
寻『烟斗』〖烟斗〗【yandou】val=2S, @/d/wudang/npc/obj/yandou.c
寻『盐巴』〖盐巴〗【1 salt rock】val=20S, @/d/xinjiang/obj/salt.c
寻『眼罩』〖$YEL$眼罩$NOR$〗【eye cover】val<1S, @/d/huashan/npc/obj/eyecover.c
寻『燕十三的剑』〖燕十三的剑〗【yan13-sword】val=40S, @/d/shaolin/npc/obj/yan13-sword.c
寻『砚台』〖砚台〗【yan tai】val=1G, @/d/guanwai/npc/obj/yantai.c
